part,country,name,population,populationYear,populationStatus,populationEvidenceLevel,populationSource,dataStatus,evidenceScore
"ڕۆژهەڵات","ئێران","گیلان‌غرب","22,331 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"ڕۆژهەڵات","ئێران","هەرسین","44,146 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"ڕۆژهەڵات","ئێران","سەحنە","35,508 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"ڕۆژهەڵات","ئێران","کنگاوەر","51,352 (2016 census)","2016","city_level_verified","primary_official","Statistical Center of Iran — 2016 Urban Population Census","baseline","4"
"باکوور","تورکیا","ئامەد","1,087,786 (2022 city)","2022","city_level_verified_secondary_transcription","secondary_traceable","State Institute of Statistics / TÜİK, city-level series via CityPopulation","partial","8"
"باکوور","تورکیا","وان","530,574 (2025 city)","2025","city_level_verified_secondary_transcription","secondary_traceable","TÜİK/ADNKS 2025 urban population as reported on current city page","baseline","4"
"باکوور","تورکیا","مێردین","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","baseline","3"
"باکوور","تورکیا","هەکاری","60,098 (2022 city)","2022","city_level_verified_secondary_transcription","secondary_traceable","State Institute of Statistics / TÜİK, city-level series via CityPopulation","baseline","4"
"باکوور","تورکیا","شرناخ","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","baseline","3"
"باکوور","تورکیا","سێرت","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","baseline","3"
"باکوور","تورکیا","ئێلیح","452,157 (2021 city)","2021","city_level_verified_secondary_transcription","secondary_traceable","TÜİK/ADNKS, city page","baseline","4"
"باکوور","تورکیا","بیتلیس","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","baseline","3"
"باکوور","تورکیا","موش","120,699 (2022 city)","2022","city_level_not_verified","","TÜİK/ADNKS 2022","baseline","4"
"باکوور","تورکیا","بینگۆڵ","133,423 (2022 city)","2022","city_level_not_verified","","TÜİK/ADNKS 2022","baseline","4"
"باکوور","تورکیا","دێرسیم","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","baseline","3"
"باکوور","تورکیا","ئەرزروم","405,645 (2022 urban)","2022","city_level_verified_secondary_transcription","secondary_traceable","academic urban-area series citing official population data","baseline","4"
"باکوور","تورکیا","ئەرزنجان","150,714 (2022 city)","2022","city_level_not_verified","","TÜİK/ADNKS 2022","baseline","4"
"باکوور","تورکیا","ئاگری","148,765 (2022 city)","2022","city_level_not_verified","","TÜİK/ADNKS 2022","baseline","4"
"باکوور","تورکیا","قەرس","91,450 (2022 city)","2022","city_level_not_verified","","TÜİK/ADNKS 2022","baseline","4"
"باکوور","تورکیا","ئیدیر","101,700 (2022 city)","2022","city_level_not_verified","","TÜİK/ADNKS 2022","baseline","4"
"باکوور","تورکیا","ئەلازیغ","387,072 (2022 city)","2022","city_level_not_verified","","TÜİK/ADNKS 2022","baseline","4"
"باکوور","تورکیا","خەربەت","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","baseline","3"
"باکوور","تورکیا","ڕیحا","City-level value pending extraction from TÜİK table","2022","city_level_not_verified","","Province/metro total only; not promoted to city","baseline","3"
"باکوور","تورکیا","سمسور","City-level value pending extraction from TÜİK table","2022","city_level_not_verified","","Province/metro total only; not promoted to city","baseline","3"
"باکوور","تورکیا","ملەتی","City-level value pending extraction from TÜİK table","2022","city_level_not_verified","","Province total only; not promoted to city","baseline","3"
"باکوور","تورکیا","غازی عەنتاب","City-level value pending extraction from TÜİK table","2022","city_level_not_verified","","Province/metro total only; not promoted to city","baseline","3"
"باکوور","تورکیا","سیڤەرەک","267,942 (2022 district)","2022","city_level_not_verified","","TÜİK/ADNKS district total; city-core value requires separate extraction","baseline","4"
"باکوور","تورکیا","سێلوان","86,161 (2022 district)","2022","city_level_not_verified","","TÜİK/ADNKS district total; city-core value requires separate extraction","baseline","4"
"باکوور","تورکیا","نسیبین","115,586 (2022 district)","2022","city_level_not_verified","","TÜİK/ADNKS district total; city-core value requires separate extraction","baseline","4"
"باکوور","تورکیا","کزلتەپە","267,151 (2022 district)","2022","city_level_not_verified","","TÜİK/ADNKS district total; city-core value requires separate extraction","baseline","4"
"باکوور","تورکیا","میدیات","120,069 (2022 district)","2022","city_level_not_verified","","TÜİK/ADNKS district total; city-core value requires separate extraction","baseline","4"
"باکوور","تورکیا","جزیرە","159,754 (2022 district)","2022","city_level_not_verified","","TÜİK/ADNKS district total; city-core value requires separate extraction","baseline","4"
"باکوور","تورکیا","گەڤەر","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","baseline","3"
"باکوور","تورکیا","شەمزینان","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","baseline","3"
"باکوور","تورکیا","بەشکەلە","44,168 (2022 district)","2022","city_level_not_verified","","TÜİK/ADNKS district total; city-core value requires separate extraction","baseline","4"
"باشوور","عێراق","هەولێر","1,001,219 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription (City Population)","documented","9"
"باشوور","عێراق","سلێمانی","828,850 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription (City Population)","documented","9"
"باشوور","عێراق","دهۆک","452,967 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription (City Population)","documented","9"
"باشوور","عێراق","کەرکووک","1,249,197 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription","documented","9"
"باشوور","عێراق","هەڵەبجە","75,922 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription","documented","9"
"باشوور","عێراق","زاخۆ","297,254 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription (City Population)","documented","9"
"باشوور","عێراق","ئاکرێ","105,370 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription","documented","9"
"باشوور","عێراق","ئامێدی","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","سۆران","148,794 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription","documented","9"
"باشوور","عێراق","ڕانیە","114,173 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription","documented","9"
"باشوور","عێراق","ڕەواندز","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","کۆیە","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","شەقڵاوە","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","کەلار","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","چەمچەماڵ","173,000 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription","documented","9"
"باشوور","عێراق","قەلادزێ","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","دەربەندیخان","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","پێنجوێن","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","سێمێل","152,512 (2024 census)","2024","city_level_verified_secondary_transcription","secondary_traceable","2024 Iraq census city/locality table; secondary transcription","documented","9"
"باشوور","عێراق","باتیفا","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"باشوور","عێراق","خانەقین","آمار رسمی وابسته به سال سرشماری","","city_level_not_verified","","","documented","9"
"ڕۆژئاوا","سوریا","قامیشلو","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","حەسەکە","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","کۆبانی","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","عەفرین","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","دەریک","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","عامودێ","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","دەربەسیە","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","سەرێ کانیێ","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","تەل تەمر","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","منبج","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","عین عیسا","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
"ڕۆژئاوا","سوریا","ڕەس العین","آمار رسمی وابسته به سال سرشماری","","not_currently_verified","research_needed","","baseline","4"
